"Data","Regiao","Sum(Novos_Confirmados_Dia)","Sum(Novos_Mortos_Dia)","Mean(Area)","Mean(Populacao)","Mean(Densidade_Demografica)","Mean(Tx_Geomet_Cresc_Anual_Popul_2010_2020)","Mean(Grau_Urbanizacao)","Mean(Ind_Envelhecimento)","Mean(Popul_Menos_15Anos)","Mean(Popul_60Anos_Mais)","Mean(Razao_Sexos)","Mean(Ind_Isolamento(%))","Mean(Total_Leitos_UTI_Adulto)","Mean(Total_Leitos_UTI_Pediatrica)","Mean(Total_SUS)","Mean(Total_SUS_Pediatrica)"
"01/03/2020","Centro",0,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0.0,957.0,20.0,20.0,0.0
"01/04/2020","Centro",533,23,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,56.0,957.0,20.0,20.0,0.0
"01/04/2020","Leste",14,1,228.29999999999998,362397.0,3131.6675,1.2025000000000001,95.08,59.584999999999994,21.04625,12.4775,96.02875,49.49999999999999,3.0,0.25000000000000006,0.0,0.0
"01/04/2020","Norte",3,0,170.6275,107265.5,768.7575,1.7475,95.3475,58.03,20.2675,11.629999999999999,99.86749999999999,57.0,0.0,0.0,0.0,0.0
"01/04/2020","Oeste",13,0,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,55.33333333333334,5.5,0.0,0.0,0.0
"01/04/2020","Sudeste",16,2,132.06000000000003,440129.00000000006,6265.248333333335,0.4983333333333334,99.73166666666665,92.88666666666667,17.985000000000003,16.105,92.94333333333333,57.66666666666667,33.166666666666664,2.3333333333333335,0.0,0.0
"01/04/2020","Sudoeste",21,2,121.60199999999999,156151.0,4179.838,1.6059999999999999,99.834,51.05,22.220000000000002,11.336000000000002,96.022,45.800000000000004,0.0,0.0,0.0,0.0
"02/03/2020","Centro",0,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0.0,957.0,20.0,20.0,0.0
"02/04/2020","Centro",397,20,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,56.0,957.0,20.0,20.0,0.0
"02/04/2020","Leste",21,1,228.29999999999998,362397.0,3131.6675,1.2025000000000001,95.08,59.584999999999994,21.04625,12.4775,96.02875,48.74999999999999,3.0,0.25000000000000006,0.0,0.0
"02/04/2020","Norte",10,1,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,56.2,0.0,0.0,0.0,0.0
"02/04/2020","Oeste",19,2,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,54.833333333333336,5.5,0.0,0.0,0.0
"02/04/2020","Sudeste",13,0,132.06000000000003,440129.00000000006,6265.248333333335,0.4983333333333334,99.73166666666665,92.88666666666667,17.985000000000003,16.105,92.94333333333333,57.16666666666667,33.166666666666664,2.3333333333333335,0.0,0.0
"02/04/2020","Sudoeste",16,0,121.60199999999999,156151.0,4179.838,1.6059999999999999,99.834,51.05,22.220000000000002,11.336000000000002,96.022,46.0,0.0,0.0,0.0,0.0
"03/03/2020","Centro",0,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0.0,957.0,20.0,20.0,0.0
"03/04/2020","Centro",387,22,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,56.0,957.0,20.0,20.0,0.0
"03/04/2020","Leste",28,1,228.29999999999998,362397.0,3131.6675,1.2025000000000001,95.08,59.584999999999994,21.04625,12.4775,96.02875,48.625,3.0,0.25000000000000006,0.0,0.0
"03/04/2020","Norte",8,0,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,56.2,0.0,0.0,0.0,0.0
"03/04/2020","Oeste",10,1,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,54.833333333333336,5.5,0.0,0.0,0.0
"03/04/2020","Sudeste",50,3,132.06000000000003,440129.00000000006,6265.248333333335,0.4983333333333334,99.73166666666665,92.88666666666667,17.985000000000003,16.105,92.94333333333333,56.333333333333336,33.166666666666664,2.3333333333333335,0.0,0.0
"03/04/2020","Sudoeste",16,1,121.60199999999999,156151.0,4179.838,1.6059999999999999,99.834,51.05,22.220000000000002,11.336000000000002,96.022,45.2,0.0,0.0,0.0,0.0
"04/03/2020","Centro",1,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0.0,957.0,20.0,20.0,0.0
"04/04/2020","Centro",294,26,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,58.0,957.0,20.0,20.0,0.0
"04/04/2020","Leste",16,2,228.29999999999998,362397.0,3131.6675,1.2025000000000001,95.08,59.584999999999994,21.04625,12.4775,96.02875,51.375,3.0,0.25000000000000006,0.0,0.0
"04/04/2020","Norte",3,2,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,60.400000000000006,0.0,0.0,0.0,0.0
"04/04/2020","Oeste",9,0,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,58.5,5.5,0.0,0.0,0.0
"04/04/2020","Sudeste",23,1,132.06000000000003,440129.00000000006,6265.248333333335,0.4983333333333334,99.73166666666665,92.88666666666667,17.985000000000003,16.105,92.94333333333333,60.0,33.166666666666664,2.3333333333333335,0.0,0.0
"04/04/2020","Sudoeste",10,1,121.60199999999999,156151.0,4179.838,1.6059999999999999,99.834,51.05,22.220000000000002,11.336000000000002,96.022,48.2,0.0,0.0,0.0,0.0
"05/03/2020","Centro",3,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,28.0,957.0,20.0,20.0,0.0
"05/04/2020","Centro",116,8,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,59.0,957.0,20.0,20.0,0.0
"05/04/2020","Leste",2,0,228.29999999999998,362397.0,3131.6675,1.2025000000000001,95.08,59.584999999999994,21.04625,12.4775,96.02875,53.875,3.0,0.25000000000000006,0.0,0.0
"05/04/2020","Norte",3,1,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,62.4,0.0,0.0,0.0,0.0
"05/04/2020","Oeste",12,1,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,59.16666666666667,5.5,0.0,0.0,0.0
"05/04/2020","Sudeste",2,1,132.06000000000003,440129.00000000006,6265.248333333335,0.4983333333333334,99.73166666666665,92.88666666666667,17.985000000000003,16.105,92.94333333333333,61.16666666666667,33.166666666666664,2.3333333333333335,0.0,0.0
"05/04/2020","Sudoeste",4,2,121.60199999999999,156151.0,4179.838,1.6059999999999999,99.834,51.05,22.220000000000002,11.336000000000002,96.022,49.2,0.0,0.0,0.0,0.0
"06/03/2020","Centro",0,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,27.0,957.0,20.0,20.0,0.0
"06/04/2020","Centro",142,24,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,54.0,957.0,20.0,20.0,0.0
"06/04/2020","Leste",8,1,228.29999999999998,362397.0,3131.6675,1.2025000000000001,95.08,59.584999999999994,21.04625,12.4775,96.02875,46.49999999999999,3.0,0.25000000000000006,0.0,0.0
"06/04/2020","Norte",3,3,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,53.8,0.0,0.0,0.0,0.0
"06/04/2020","Oeste",9,0,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,51.83333333333333,5.5,0.0,0.0,0.0
"06/04/2020","Sudeste",14,0,132.06000000000003,440129.00000000006,6265.248333333335,0.4983333333333334,99.73166666666665,92.88666666666667,17.985000000000003,16.105,92.94333333333333,54.5,33.166666666666664,2.3333333333333335,0.0,0.0
"06/04/2020","Sudoeste",7,0,127.275,141468.0,3556.0733333333337,1.475,99.41666666666666,53.44166666666668,21.915000000000003,11.668333333333335,96.32666666666667,36.333333333333336,0.0,0.0,0.0,0.0
"07/03/2020","Centro",6,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0.0,957.0,20.0,20.0,0.0
"07/03/2020","Oeste",1,0,179.95,138132.0,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0.0,0.0,0.0,0.0,0.0
"07/04/2020","Centro",504,52,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,52.0,957.0,20.0,20.0,0.0
"07/04/2020","Leste",31,3,228.29999999999998,362397.0,3131.6675,1.2025000000000001,95.08,59.584999999999994,21.04625,12.4775,96.02875,45.50000000000001,3.0,0.25000000000000006,0.0,0.0
"07/04/2020","Norte",4,0,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,53.400000000000006,0.0,0.0,0.0,0.0
"07/04/2020","Oeste",23,2,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,51.16666666666667,5.5,0.0,0.0,0.0
"07/04/2020","Sudeste",101,1,118.38571428571427,384370.00000000006,5566.045714285714,0.6085714285714287,99.77000000000001,88.05714285714284,18.244285714285716,15.475714285714286,93.58285714285716,45.99999999999999,28.428571428571423,1.9999999999999998,0.0,0.0
"07/04/2020","Sudoeste",15,1,127.275,141468.0,3556.0733333333337,1.475,99.41666666666666,53.44166666666668,21.915000000000003,11.668333333333335,96.32666666666667,35.33333333333334,0.0,0.0,0.0,0.0
"08/03/2020","Centro",3,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0.0,957.0,20.0,20.0,0.0
"08/03/2020","Oeste",0,0,179.95,138132.0,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0.0,0.0,0.0,0.0,0.0
"08/04/2020","Centro",689,43,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,51.0,957.0,20.0,20.0,0.0
"08/04/2020","Leste",67,-1,233.02444444444444,325400.5555555555,2795.7788888888886,1.2155555555555555,94.07666666666665,60.76222222222222,20.947777777777773,12.663333333333332,96.43888888888888,40.666666666666664,2.888888888888889,0.22222222222222227,0.0,0.0
"08/04/2020","Norte",17,0,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,52.0,0.0,0.0,0.0,0.0
"08/04/2020","Oeste",26,4,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,51.0,5.5,0.0,0.0,0.0
"08/04/2020","Sudeste",61,1,118.38571428571427,384370.00000000006,5566.045714285714,0.6085714285714287,99.77000000000001,88.05714285714284,18.244285714285716,15.475714285714286,93.58285714285716,45.99999999999999,28.428571428571423,1.9999999999999998,0.0,0.0
"08/04/2020","Sudoeste",34,1,127.275,141468.0,3556.0733333333337,1.475,99.41666666666666,53.44166666666668,21.915000000000003,11.668333333333335,96.32666666666667,35.16666666666667,0.0,0.0,0.0,0.0
"09/03/2020","Centro",0,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0.0,957.0,20.0,20.0,0.0
"09/03/2020","Oeste",0,0,179.95,138132.0,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0.0,0.0,0.0,0.0,0.0
"09/04/2020","Centro",530,45,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,48.0,957.0,20.0,20.0,0.0
"09/04/2020","Leste",57,5,233.02444444444444,325400.5555555555,2795.7788888888886,1.2155555555555555,94.07666666666665,60.76222222222222,20.947777777777773,12.663333333333332,96.43888888888888,40.22222222222222,2.888888888888889,0.22222222222222227,0.0,0.0
"09/04/2020","Norte",1,0,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,52.2,0.0,0.0,0.0,0.0
"09/04/2020","Oeste",18,2,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,49.0,5.5,0.0,0.0,0.0
"09/04/2020","Sudeste",54,0,118.38571428571427,384370.00000000006,5566.045714285714,0.6085714285714287,99.77000000000001,88.05714285714284,18.244285714285716,15.475714285714286,93.58285714285716,43.714285714285715,28.428571428571423,1.9999999999999998,0.0,0.0
"09/04/2020","Sudoeste",10,2,127.275,141468.0,3556.0733333333337,1.475,99.41666666666666,53.44166666666668,21.915000000000003,11.668333333333335,96.32666666666667,33.333333333333336,0.0,0.0,0.0,0.0
"10/03/2020","Centro",3,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0.0,957.0,20.0,20.0,0.0
"10/03/2020","Oeste",0,0,179.95,138132.0,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0.0,0.0,0.0,0.0,0.0
"10/04/2020","Centro",505,25,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,56.0,957.0,20.0,20.0,0.0
"10/04/2020","Leste",53,6,233.02444444444444,325400.5555555555,2795.7788888888886,1.2155555555555555,94.07666666666665,60.76222222222222,20.947777777777773,12.663333333333332,96.43888888888888,46.77777777777777,2.888888888888889,0.22222222222222227,0.0,0.0
"10/04/2020","Norte",7,1,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,63.800000000000004,0.0,0.0,0.0,0.0
"10/04/2020","Oeste",23,2,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,59.166666666666664,5.5,0.0,0.0,0.0
"10/04/2020","Sudeste",30,2,118.38571428571427,384370.00000000006,5566.045714285714,0.6085714285714287,99.77000000000001,88.05714285714284,18.244285714285716,15.475714285714286,93.58285714285716,52.42857142857142,28.428571428571423,1.9999999999999998,0.0,0.0
"10/04/2020","Sudoeste",24,1,127.275,141468.0,3556.0733333333337,1.475,99.41666666666666,53.44166666666668,21.915000000000003,11.668333333333335,96.32666666666667,40.5,0.0,0.0,0.0,0.0
"11/03/2020","Centro",11,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0.0,957.0,20.0,20.0,0.0
"11/03/2020","Oeste",0,0,179.95,138132.0,767.61,2.45,100.0,59.26,20.28,12.02,97.12,0.0,0.0,0.0,0.0,0.0
"11/04/2020","Centro",149,13,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,54.0,957.0,20.0,20.0,0.0
"11/04/2020","Leste",21,2,233.02444444444444,325400.5555555555,2795.7788888888886,1.2155555555555555,94.07666666666665,60.76222222222222,20.947777777777773,12.663333333333332,96.43888888888888,46.22222222222222,2.888888888888889,0.22222222222222227,0.0,0.0
"11/04/2020","Norte",3,0,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,60.400000000000006,0.0,0.0,0.0,0.0
"11/04/2020","Oeste",8,0,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,56.66666666666667,5.5,0.0,0.0,0.0
"11/04/2020","Sudeste",4,1,118.38571428571427,384370.00000000006,5566.045714285714,0.6085714285714287,99.77000000000001,88.05714285714284,18.244285714285716,15.475714285714286,93.58285714285716,49.85714285714286,28.428571428571423,1.9999999999999998,0.0,0.0
"11/04/2020","Sudoeste",7,1,127.275,141468.0,3556.0733333333337,1.475,99.41666666666666,53.44166666666668,21.915000000000003,11.668333333333335,96.32666666666667,38.50000000000001,0.0,0.0,0.0,0.0
"12/03/2020","Centro",15,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,25.0,957.0,20.0,20.0,0.0
"12/03/2020","Leste",1,0,29.56,193037.0,6530.35,1.39,95.51,50.76,21.48,10.9,95.47,32.0,0.0,0.0,0.0,0.0
"12/03/2020","Oeste",0,0,179.95,138132.0,767.61,2.45,100.0,59.26,20.28,12.02,97.12,32.0,0.0,0.0,0.0,0.0
"12/04/2020","Centro",221,23,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,58.0,957.0,20.0,20.0,0.0
"12/04/2020","Leste",12,0,233.02444444444444,325400.5555555555,2795.7788888888886,1.2155555555555555,94.07666666666665,60.76222222222222,20.947777777777773,12.663333333333332,96.43888888888888,49.88888888888889,2.888888888888889,0.22222222222222227,0.0,0.0
"12/04/2020","Norte",5,1,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,65.2,0.0,0.0,0.0,0.0
"12/04/2020","Oeste",11,1,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,61.16666666666667,5.5,0.0,0.0,0.0
"12/04/2020","Sudeste",23,1,118.38571428571427,384370.00000000006,5566.045714285714,0.6085714285714287,99.77000000000001,88.05714285714284,18.244285714285716,15.475714285714286,93.58285714285716,53.57142857142857,28.428571428571423,1.9999999999999998,0.0,0.0
"12/04/2020","Sudoeste",5,0,127.275,141468.0,3556.0733333333337,1.475,99.41666666666666,53.44166666666668,21.915000000000003,11.668333333333335,96.32666666666667,42.16666666666667,0.0,0.0,0.0,0.0
"13/03/2020","Centro",0,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,29.0,957.0,20.0,20.0,0.0
"13/03/2020","Leste",0,0,29.56,193037.0,6530.35,1.39,95.51,50.76,21.48,10.9,95.47,35.0,0.0,0.0,0.0,0.0
"13/03/2020","Oeste",0,0,179.95,138132.0,767.61,2.45,100.0,59.26,20.28,12.02,97.12,34.0,0.0,0.0,0.0,0.0
"13/04/2020","Centro",66,11,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,50.0,957.0,20.0,20.0,0.0
"13/04/2020","Leste",4,3,233.02444444444444,325400.5555555555,2795.7788888888886,1.2155555555555555,94.07666666666665,60.76222222222222,20.947777777777773,12.663333333333332,96.43888888888888,42.11111111111111,2.888888888888889,0.22222222222222227,0.0,0.0
"13/04/2020","Norte",1,0,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,55.0,0.0,0.0,0.0,0.0
"13/04/2020","Oeste",13,2,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,51.16666666666667,5.5,0.0,0.0,0.0
"13/04/2020","Sudeste",24,1,118.38571428571427,384370.00000000006,5566.045714285714,0.6085714285714287,99.77000000000001,88.05714285714284,18.244285714285716,15.475714285714286,93.58285714285716,45.42857142857143,28.428571428571423,1.9999999999999998,0.0,0.0
"13/04/2020","Sudoeste",2,0,127.275,141468.0,3556.0733333333337,1.475,99.41666666666666,53.44166666666668,21.915000000000003,11.668333333333335,96.32666666666667,34.833333333333336,0.0,0.0,0.0,0.0
"14/03/2020","Centro",18,0,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,0.0,957.0,20.0,20.0,0.0
"14/03/2020","Leste",0,0,29.56,193037.0,6530.35,1.39,95.51,50.76,21.48,10.9,95.47,0.0,0.0,0.0,0.0,0.0
"14/03/2020","Oeste",1,0,107.25,266365.0,6094.34,1.5550000000000002,100.0,59.025,21.130000000000003,12.469999999999999,95.78,0.0,1.5,0.0,0.0,0.0
"14/04/2020","Centro",287,56,1521.11,1.186966E7,7803.29,0.54,99.1,82.2,18.99,15.61,90.89,50.0,957.0,20.0,20.0,0.0
"14/04/2020","Leste",30,8,233.02444444444444,325400.5555555555,2795.7788888888886,1.2155555555555555,94.07666666666665,60.76222222222222,20.947777777777773,12.663333333333332,96.43888888888888,42.333333333333336,2.888888888888889,0.22222222222222227,0.0,0.0
"14/04/2020","Norte",1,2,146.302,120693.0,1326.854,1.6440000000000001,96.23800000000001,55.790000000000006,20.794,11.448,99.50399999999999,55.00000000000001,0.0,0.0,0.0,0.0
"14/04/2020","Oeste",11,4,74.21000000000001,266908.3333333334,6109.396666666668,1.2216666666666667,100.0,54.82166666666667,21.560000000000002,11.718333333333334,95.27333333333334,51.33333333333333,5.5,0.0,0.0,0.0
"14/04/2020","Sudeste",37,4,118.38571428571427,384370.00000000006,5566.045714285714,0.6085714285714287,99.77000000000001,88.05714285714284,18.244285714285716,15.475714285714286,93.58285714285716,45.14285714285714,28.428571428571423,1.9999999999999998,0.0,0.0
